Time,A
0,5.005622254
1,4.992131874
2,5.019692916
3,4.99706101
4,4.990163679
5,5.032310609
6,5.019016008
7,5.021195228
8,5.018845084
9,5.020442261
10,5.022369849
11,5.055235833
12,5.066007721
13,5.035504278
14,5.011181238
15,4.952799304
16,4.912760194
17,4.882237894
18,4.867031686
19,4.905378298
20,4.971773115
21,5.006490126
22,5.046521344
23,5.054359259
24,5.015763452
25,5.020341115
26,4.838367008
27,4.917082121
28,4.932724657
29,4.846691736
30,4.910806302
31,4.873027098
32,4.860145975
33,4.881234388
34,4.996999067
35,5.217123287
36,5.29189619
37,5.154315343
38,4.902873241
39,4.789968646
40,4.765617871
41,4.816637271
42,4.860687111
43,4.858509684
44,4.908030964
45,4.933830991
46,4.89044772
47,4.925548029
48,4.94205168
49,4.977012345
50,5.010307716
51,5.015070185
52,4.940735645
53,4.688269547
54,4.656106452
55,4.793179936
56,4.898900824
57,4.977003202
58,5.021207529
59,4.983730024
60,4.962936011
61,4.929691971
62,4.918342906
63,4.981400777
64,5.041769177
65,5.219523818
66,5.137566663
67,4.982624258
68,4.877415569
69,4.85853171
70,4.885666942
71,4.896316591
72,4.90730759
73,4.897748094
74,4.899024884
75,4.93798195
76,4.944989467
77,4.967254099
78,5.001056726
79,4.971282512
80,4.954032545
81,4.940148532
82,4.911183225
83,4.928880375
84,4.962194212
85,4.98969011
86,4.987956524
87,4.95504118
88,4.909155796
89,4.879829156
90,4.878305496
91,4.88825939
92,4.888745084
93,4.884520465
94,4.886312717
95,4.872164663
96,4.884250184
97,4.856596414
98,4.874319342
99,4.91386761
100,4.938207157
101,4.985896156
102,4.983520745
103,4.966863244
104,4.925649453
105,4.875343436
106,4.851037135
107,4.832813696
108,4.834201587
109,4.889089404
110,4.906294077
111,4.918575517
112,4.956515395
113,4.960309245
114,4.948158697
115,4.959319862
116,4.953236339
117,4.956329503
118,4.959069331
119,4.948972314
120,4.930818345
121,4.942121262
122,4.958777777
123,4.953493508
124,4.952668747
125,4.928357865
126,4.879706743
127,4.846092158
128,4.840281362
129,4.840313008
130,4.847222385
131,4.862103233
132,4.890851151
133,4.928704623
134,4.98569158
135,5.040086968
136,5.007969718
137,4.970861656
138,4.929978145
139,4.897496216
140,4.916033909
141,4.898032496
142,4.903390771
143,4.901534809
144,4.85045183
145,4.851517762
146,4.899771304
147,4.924273819
148,4.96422926
149,4.953453442
150,4.916360536
151,4.929894008
152,4.964451192
153,5.010783628
154,5.023036648
155,5.027021095
156,5.030256767
157,5.021824663
158,5.003803673
159,4.961943444
160,4.904971448
161,4.862564244
162,4.853457095
163,4.871301928
164,4.895944813
165,4.938355078
166,4.955517828
167,4.942119656
168,4.914579063
169,4.843755489
170,4.815404803
171,4.806102293
172,4.854306765
173,4.91730684
174,4.946663625
175,4.962869939
176,4.982627386
177,4.98274892
178,4.974616612
179,4.94853557
180,4.887973547
181,4.843564832
182,4.84665559
183,4.89144683
184,4.908862666
185,4.925597094
186,4.890907103
187,4.828729372
188,4.81074336
189,4.824019487
190,4.859725631
191,4.891431791
192,4.916204787
193,4.90885883
194,4.91308831
195,4.902420635
196,4.914448505
197,4.937295927
198,4.954484982
199,4.993110645
200,5.020597013
201,5.041777686
202,5.004480712
203,4.957351498
204,4.929364769
205,4.931662849
206,4.942880401
207,5.002376946
208,5.010219537
209,4.957675029
210,4.924139175
211,4.876773213
